target,smiles,model_used,bbb_probability,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotBonds,qed_score,FSP3,NumRings,NumAromRings,NumHeavyAtoms,lipinski_violations,drug_likeness,veber_pass,ghose_pass,egan_pass,muegge_pass,pains_flag,sa_score,tice_agro_pass,hazard_any,covalent_warhead_any,structural_alert_hits,green_chem_proxy,cyp_liability_any,cyp_liability_hits,molecular_complexity_index,promiscuity_risk_proxy,toxicity_flags,toxicity_flag,admet_score,physics_score,clash_penalty,modification,desirability,brics_fragments.n_fragments,brics_fragments.fragments[0].fragment_smiles,brics_fragments.fragments[0].num_heavy_atoms,brics_fragments.fragments[0].fragment_qed,brics_fragments.fragments[0].fragment_logp,brics_fragments.fragments[1].fragment_smiles,brics_fragments.fragments[1].num_heavy_atoms,brics_fragments.fragments[1].fragment_qed,brics_fragments.fragments[1].fragment_logp,brics_fragments.fragments[2].fragment_smiles,brics_fragments.fragments[2].num_heavy_atoms,brics_fragments.fragments[2].fragment_qed,brics_fragments.fragments[2].fragment_logp,brics_fragments.fragments[3].fragment_smiles,brics_fragments.fragments[3].num_heavy_atoms,brics_fragments.fragments[3].fragment_qed,brics_fragments.fragments[3].fragment_logp,brics_fragments.fragments[4].fragment_smiles,brics_fragments.fragments[4].num_heavy_atoms,brics_fragments.fragments[4].fragment_qed,brics_fragments.fragments[4].fragment_logp,brics_fragments.fragments[5].fragment_smiles,brics_fragments.fragments[5].num_heavy_atoms,brics_fragments.fragments[5].fragment_qed,brics_fragments.fragments[5].fragment_logp,brics_fragments.fragments[6].fragment_smiles,brics_fragments.fragments[6].num_heavy_atoms,brics_fragments.fragments[6].fragment_qed,brics_fragments.fragments[6].fragment_logp,mpo_breakdown.term_values.bbb,mpo_breakdown.term_values.qed,mpo_breakdown.term_values.lipinski,mpo_breakdown.term_values.physics,mpo_breakdown.term_values.clash,mpo_breakdown.term_log_contributions.bbb,mpo_breakdown.term_log_contributions.qed,mpo_breakdown.term_log_contributions.lipinski,mpo_breakdown.term_log_contributions.physics,mpo_breakdown.term_log_contributions.clash,mpo_breakdown.weakest_driver,mpo_breakdown.weakest_driver_value,mpo_breakdown.pains_penalty_applied,mpo_breakdown.hazard_penalty_applied,mpo_breakdown.final_desirability,brics_fragments.fragments[7].fragment_smiles,brics_fragments.fragments[7].num_heavy_atoms,brics_fragments.fragments[7].fragment_qed,brics_fragments.fragments[7].fragment_logp
EGFR,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC(F)CN1CCOCC1,EGNN-CrossAttn,0.7053,464.9,4.22,68.74,1,7,8,0.5349,0.364,4,3,32,0,1.0,1,1,1,1,0,2.854,1,0,0,cyp_aniline,4.347,1,cyp_aniline,1082.47,0.736,,0,0.7341,0.5,0.0,Fluorination (blocks metabolic oxidation),0.704,7,[14*]c1ncnc2cc([16*])c([16*])cc12,10,0.4606,-0.846,[16*]c1ccc(F)c(Cl)c1,8,0.4999,1.654,[5*]N1CCOCC1,6,0.404,-0.217,[4*]CC(F)C[4*],4,0.4497,1.26,[3*]OC,2,0.3672,0.097,[3*]O[3*],1,0.3556,-0.068,[5*]N[5*],1,0.3713,-0.495,0.7053,0.5349,1.0,0.5,1.0,-0.0873,-0.1251,0.0,-0.1386,0.0,physics,0.5,False,False,0.704,,,,
EGFR,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(F)CCN1CCOCC1,EGNN-CrossAttn,0.7058,464.9,4.57,68.74,1,7,8,0.5233,0.364,4,3,32,0,1.0,1,1,1,1,0,2.854,1,0,0,cyp_aniline,4.347,1,cyp_aniline,1082.47,0.701,,0,0.7302,0.5,0.0,Fluorination (blocks metabolic oxidation),0.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGFR,COc1cc2nc(C)nc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,EGNN-CrossAttn,0.7175,460.94,4.58,68.74,1,7,8,0.4931,0.391,4,3,32,0,1.0,1,1,1,1,0,2.57,1,0,0,cyp_aniline,3.731,1,cyp_aniline,1092.51,0.703,,0,0.7237,0.5,0.0,Methylation (fills hydrophobic pocket),0.6956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGFR,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC(N)CN1CCOCC1,EGNN-CrossAttn,0.6784,461.93,3.21,94.76,2,8,8,0.5278,0.364,4,3,32,0,1.0,1,1,1,1,0,2.854,1,0,0,cyp_aniline,3.847,1,cyp_aniline,1080.86,0.84,,0,0.7222,0.5,0.0,Amination (introduces basic center),0.6953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGFR,COc1c(OCCCN2CCOCC2)cc2c(Nc3ccc(F)c(Cl)c3)ncnc2c1F,EGNN-CrossAttn,0.7126,464.9,4.41,68.74,1,7,8,0.4949,0.364,4,3,32,0,1.0,1,1,1,1,0,2.604,1,0,0,cyp_aniline,4.347,1,cyp_aniline,1096.45,0.717,,0,0.7226,0.5,0.0,Fluorination (blocks metabolic oxidation),0.6949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGFR,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOC(F)C1,EGNN-CrossAttn,0.715,464.9,4.57,68.74,1,7,8,0.4895,0.364,4,3,32,0,1.0,1,1,1,1,0,2.854,1,0,0,cyp_aniline,4.347,1,cyp_aniline,1088.47,0.701,,0,0.7216,0.5,0.0,Fluorination (blocks metabolic oxidation),0.6939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGFR,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC(N)N1CCOCC1,EGNN-CrossAttn,0.6704,461.93,3.56,94.76,2,8,8,0.5255,0.364,4,3,32,0,1.0,1,1,1,1,0,2.854,1,0,0,cyp_aniline,3.847,1,cyp_aniline,1080.86,0.805,,0,0.7186,0.5,0.0,Amination (introduces basic center),0.6926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGFR,COc1c(OCCCN2CCOCC2)cc2c(Nc3ccc(F)c(Cl)c3)ncnc2c1O,EGNN-CrossAttn,0.7093,462.91,3.98,88.97,2,8,8,0.4858,0.364,4,3,32,0,1.0,1,1,1,1,0,2.604,1,0,0,cyp_aniline,3.847,1,cyp_aniline,1095.2,0.762,,0,0.7183,0.5,0.0,Hydroxylation (modulates solubility),0.6915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGFR,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2c(F)c1OCCCN1CCOCC1,EGNN-CrossAttn,0.6977,464.9,4.41,68.74,1,7,8,0.4949,0.364,4,3,32,0,1.0,1,1,1,1,0,2.604,1,0,0,cyp_aniline,4.347,1,cyp_aniline,1096.45,0.717,,0,0.7174,0.5,0.0,Fluorination (blocks metabolic oxidation),0.6912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGFR,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC(F)N1CCOCC1,EGNN-CrossAttn,0.6983,464.9,4.57,68.74,1,7,8,0.4895,0.364,4,3,32,0,1.0,1,1,1,1,0,2.854,1,0,0,cyp_aniline,4.347,1,cyp_aniline,1082.47,0.701,,0,0.7157,0.5,0.0,Fluorination (blocks metabolic oxidation),0.6899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
