id,smiles,veber_pass,ghose_pass,egan_pass,muegge_pass,pains_flag,sa_score,tice_agro_pass,hazard_any,covalent_warhead_any,structural_alert_hits,green_chem_proxy,desirability
Propanolol,CC(C)NCC(O)COc1cccc2ccccc12,1,0,1,1,0,1.88,1,0,0,,1.774,0.7358
Terbutylchlorambucil,CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,1,1,1,1,1,1.077,1,0,1,haloacetamide_warhead,2.463,0.3346
40730,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1,1,1,1,0,2.637,1,0,0,cyp_pyridine_heme,3.268,0.6807
24,CC(=O)NCCCOc1cccc(CN2CCCCC2)c1,1,1,1,1,0,1.414,1,0,0,,1.701,0.7638
cloxacillin,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,1,1,1,1,0,3.288,1,0,0,,3.44,0.5847
cefoperazone,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,0,0,0,0,0,3.9,0,0,1,acrylamide_warhead,3.475,0.3651
rolitetracycline,CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0,0,0,0,0,4.138,0,0,1,acrylamide_warhead,2.954,0.3283
ondansetron,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,1,1,1,1,0,2.69,1,0,0,,2.479,0.7238
diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,1,1,1,1,0,2.694,1,0,0,,2.333,0.7037
Amiloride,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,0,0,0,0,0,1.65,0,0,0,,3.6,0.5835
M2L-663581,CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,1,1,1,1,0,2.837,1,0,0,,3.576,0.6306
alovudine,Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,1,0,1,1,0,2.07,0,0,0,,2.855,0.6805
18,ClCCl,1,0,1,0,0,1.0,1,0,1,haloacetamide_warhead,3.2,0.6782
24959,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,0,0,0,0,0,4.63,0,0,0,cyp_pyridine_heme,2.773,0.4974
methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,1,1,1,1,0,1.953,1,0,0,,1.556,0.7239
alfentanil,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,1,1,1,1,0,1.907,1,0,0,,2.305,0.6673
BRL53080,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,1,0,1,0,0,2.666,1,0,0,,2.865,0.6518
hyoscyamine,CN1C2CCC1CC(OC(=O)[C@H](CO)c1ccccc1)C2,1,1,1,1,0,2.514,1,0,0,,2.001,0.6341
glyburide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1,0,1,1,0,2.24,1,0,0,,2.996,0.5766
lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,1,0,1,1,0,2.02,1,0,0,,3.913,0.7233
2-Methylpentane,CCCC(C)C,1,0,1,0,0,1.0,1,0,0,,1.0,0.702
Dexamfetamine,C[C@H](N)Cc1ccccc1,1,0,1,0,0,1.4,1,0,0,,1.333,0.7005
SKF-93619,CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1,1,0,1,1,0,2.704,1,0,0,cyp_terminal_furan,2.632,0.5779
nadolol,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,1,1,1,1,0,2.114,0,0,0,,1.764,0.5865
sufentanil,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,1,1,1,1,0,1.99,1,0,0,cyp_terminal_thiophene,2.056,0.7283
12,CCNC(=NC#N)NCCSCc1ncccc1Br,1,0,1,1,0,1.23,1,0,0,cyp_pyridine_heme,2.572,0.5983
zolpidem,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,1,1,1,1,0,2.194,1,0,0,cyp_pyridine_heme,2.211,0.7147
clozapine,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,1,1,1,1,0,2.527,1,0,0,cyp_aniline,3.13,0.7983
Org12692,FC(F)(F)c1ccc(N2CCNCC2)nc1Cl,1,0,1,1,0,1.44,1,0,0,cyp_pyridine_heme,4.435,0.7832
piperacillin,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,0,0,0,0,0,3.546,0,0,0,,2.901,0.468
Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,1,0,1,1,0,1.047,1,0,0,,1.656,0.7162
Levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1,1,1,1,0,2.637,1,0,0,cyp_pyridine_heme,3.268,0.6388
compound 40,O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1,1,1,1,1,0,2.079,1,0,0,,2.034,0.7564
RO19-4603,CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O,1,1,1,1,0,2.01,1,0,0,cyp_terminal_thiophene,2.535,0.6898
fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,1,1,1,1,0,2.059,1,0,0,,1.933,0.7638
etomidate,CCOC(=O)c1cncn1C(C)c1ccccc1,1,0,1,1,0,1.967,1,0,0,,2.038,0.7115
11a,CN(C)c1cc(-c2nc(N)n[nH]2)ccn1,1,0,1,1,0,1.733,0,0,0,cyp_pyridine_heme,2.622,0.7114
prochlorperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1,1,1,1,0,2.42,1,0,0,,2.98,0.7826
2-(3'-Iodo-4'-aminophenyl)-6-hydroxybenzothiazole,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1I,1,0,1,1,0,2.41,1,0,0,cyp_aniline,3.233,0.6368
compound 34,CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1,1,0,1,1,0,1.98,1,0,0,,2.639,0.6657
granisetron,CN1[C@@H]2CCC[C@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2,1,1,1,1,0,2.943,1,0,0,,2.408,0.787
thiamphenicol,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,1,1,1,1,0,1.77,0,0,1,haloacetamide_warhead,3.252,0.5863
16,NC(N)=Nc1nc(-c2ccccc2)cs1,1,0,1,1,0,2.0,1,0,0,,2.6,0.693
mexiletine,Cc1cccc(C)c1OCC(C)N,1,0,1,0,0,1.315,1,0,0,,1.398,0.7162
dextropropoxyphene,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,1,1,1,1,0,2.209,1,0,0,,1.633,0.6763
Nor-1-chlorpromazine,CNCCCN1c2ccccc2Sc2ccc(Cl)cc21,1,1,1,1,0,2.15,1,0,0,,2.8,0.7858
compound 37,CN(C)Cc1ccc(-c2cccc(NC3N=CC=C3[N+](=O)[O-])c2)o1,1,1,1,1,0,2.498,1,0,0,cyp_terminal_furan; cyp_aniline,2.587,0.6339
cefamandole,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,0,1,0,0,0,3.37,0,0,1,acrylamide_warhead,3.191,0.4868
Y-G 15,CN(C)CCc1ccccn1,1,0,1,0,0,1.037,1,0,0,cyp_pyridine_heme,1.49,0.7142
